county,state,clinton,trump
Washington,ID,776,"3,283"
Idaho,T,"189,765","409,055"
,,,
Adams,IL,"7,676","22,790"
Alexander,IL,"1,262","1,496"
Bond,IL,"2,068","4,888"
Boone,IL,"8,986","12,282"
Brown,IL,476,"1,796"
Bureau,IL,"6,029","9,281"
Calhoun,IL,739,"1,721"
Carroll,IL,"2,447","4,434"
Cass,IL,"1,621","3,216"
Champaign,IL,"50,137","33,368"
Christian,IL,"3,992","10,543"
Clark,IL,"1,877","5,622"
Clay,IL,"1,020","5,021"
Clinton,IL,"3,945","12,412"
Coles,IL,"7,309","13,003"
Cook,IL,"1,611,946","453,287"
Crawford,IL,"1,992","6,277"
Cumberland,IL,"1,031","4,206"
DeKalb,IL,"20,466","19,091"
De Witt,IL,"1,910","5,077"
Douglas,IL,"1,949","5,698"
DuPage,IL,"228,622","166,415"
Edgar,IL,"1,793","5,645"
Edwards,IL,434,"2,778"
Effingham,IL,"3,083","13,635"
Fayette,IL,"1,819","7,372"
Ford,IL,"1,414","4,480"
Franklin,IL,"4,727","13,116"
Fulton,IL,"6,133","8,492"
Gallatin,IL,657,"1,942"
Greene,IL,"1,205","4,145"
Grundy,IL,"8,065","13,454"
Hamilton,IL,802,"3,206"
Hancock,IL,"2,139","6,430"
Hardin,IL,420,"1,653"
Henderson,IL,"1,155","2,155"
Henry,IL,"8,871","13,985"
Iroquois,IL,"2,504","9,750"
Jackson,IL,"11,634","10,843"
Jasper,IL,924,"3,975"
Jefferson,IL,"4,425","11,695"
Jersey,IL,"2,679","7,748"
Jo Daviess,IL,"4,462","6,121"
Johnson,IL,"1,142","4,649"
Kane,IL,"103,665","82,734"
Kankakee,IL,"18,971","25,129"
Kendall,IL,"24,884","24,961"
Knox,IL,"10,083","10,737"
Lake,IL,"171,095","109,767"
LaSalle,IL,"19,543","26,689"
Lawrence,IL,"1,290","4,521"
Lee,IL,"5,528","8,612"
Livingston,IL,"4,023","10,208"
Logan,IL,"3,313","8,181"
McDonough,IL,"5,288","6,795"
McHenry,IL,"60,803","71,612"
McLean,IL,"36,196","37,237"
Macon,IL,"18,343","26,866"
Macoupin,IL,"6,689","14,322"
Madison,IL,"50,587","70,490"
Marion,IL,"4,369","11,859"
Marshall,IL,"1,789","3,785"
Mason,IL,"2,014","4,058"
Massac,IL,"1,558","4,846"
Menard,IL,"1,817","4,231"
Mercer,IL,"3,071","4,807"
Monroe,IL,"5,535","12,629"
Montgomery,IL,"3,504","8,630"
Morgan,IL,"4,696","9,076"
Moultrie,IL,"1,481","4,455"
Ogle,IL,"8,050","14,352"
Peoria,IL,"38,060","35,633"
Perry,IL,"2,462","6,855"
Piatt,IL,"2,645","5,634"
Pike,IL,"1,413","5,754"
Pope,IL,375,"1,678"
Pulaski,IL,962,"1,675"
Putnam,IL,"1,147","1,767"
Randolph,IL,"3,439","10,023"
Richland,IL,"1,584","5,739"
Rock Island,IL,"32,298","26,998"
St. Clair,IL,"60,756","53,857"
Saline,IL,"2,572","8,276"
Sangamon,IL,"40,907","49,944"
Schuyler,IL,"1,075","2,524"
Scott,IL,535,"1,966"
Shelby,IL,"2,288","8,229"
Stark,IL,751,"1,778"
Stephenson,IL,"7,768","11,083"
Tazewell,IL,"20,685","38,707"
Union,IL,"2,402","5,790"
Vermilion,IL,"10,039","19,087"
Wabash,IL,"1,151","4,047"
Warren,IL,"2,987","4,275"
Washington,IL,"1,448","5,571"
Wayne,IL,"1,048","6,967"
White,IL,"1,412","5,640"
Whiteside,IL,"11,035","12,615"
Will,IL,"151,927","132,720"
Williamson,IL,"8,581","21,570"
Winnebago,IL,"55,713","55,624"
Woodford,IL,"5,092","13,207"
Illinois,T,"3,090,729","2,146,015"
,,,
Adams,IN,"2,805","9,648"
Allen,IN,"55,382","83,930"
Bartholomew,IN,"9,841","20,640"
Benton,IN,860,"2,579"
Blackford,IN,"1,243","3,350"
Boone,IN,"10,181","19,654"
Brown,IN,"2,518","5,016"
Carroll,IN,"1,892","6,273"
Cass,IN,"3,759","9,701"
Clark,IN,"18,808","30,035"
Clay,IN,"2,306","8,531"
Clinton,IN,"2,819","8,531"
