county,state,Clinton,Sanders
Lafourche,LA,"2,512","1,789"
La Salle,LA,136,184
Lincoln,LA,"1,692",436
Livingston,LA,"1,633","1,392"
Madison,LA,722,98
Morehouse,LA,"1,513",298
Natchitoches,LA,"2,545",846
Orleans,LA,"40,650","13,101"
Ouachita,LA,"8,996","1,803"
Plaquemines,LA,674,214
Pointe Coupee,LA,"1,680",352
Rapides,LA,"4,722","1,451"
Red River,LA,530,117
Richland,LA,696,135
Sabine,LA,388,259
St. Bernard,LA,"1,057",527
St. Charles,LA,"2,245",787
St. Helena,LA,"1,407",186
St. James,LA,"2,114",324
St. John the Baptist,LA,"3,819",564
St. Landry,LA,"4,606","1,184"
St. Martin,LA,"1,869",690
St. Mary,LA,"1,996",535
St. Tammany,LA,"5,996","3,800"
Tangipahoa,LA,"4,268","1,656"
Tensas,LA,492,61
Terrebonne,LA,"2,647","1,023"
Union,LA,822,217
Vermilion,LA,"1,002",648
Vernon,LA,610,442
Washington,LA,"1,664",513
Webster,LA,"1,878",436
West Baton Rouge,LA,"2,179",589
West Carroll,LA,171,110
West Feliciana,LA,902,166
Winn,LA,488,193
Louisiana,T,"221,733","72,276"
,,,
Allegany,MD,"2,476","2,727"
Anne Arundel,MD,"37,726","26,205"
Baltimore,MD,"87,762","42,285"
Baltimore,MD,"77,052","50,641"
Calvert,MD,"5,440","3,490"
Caroline,MD,"1,167",959
Carroll,MD,"7,017","7,299"
Cecil,MD,"3,534","3,562"
Charles,MD,"15,685","6,623"
Dorchester,MD,"2,149","1,080"
Frederick,MD,"14,735","12,844"
Garrett,MD,821,939
Harford,MD,"13,913","11,489"
Howard,MD,"32,139","20,316"
Kent,MD,"1,532","1,080"
Montgomery,MD,"122,881","59,157"
Prince George's,MD,"120,978","40,815"
Queen Anne's,MD,"2,458","1,851"
St. Mary's,MD,"4,892","3,725"
Somerset,MD,"1,207",668
Talbot,MD,"2,710","1,550"
Washington,MD,"6,211","5,189"
Wicomico,MD,"5,543","3,410"
Worcester,MD,"3,214","2,086"
Maryland,T,"573,242","309,990"
,,,
Barnstable,MA,"21,889","22,456"
Berkshire,MA,"12,916","13,851"
Bristol,MA,"37,187","36,797"
Dukes,MA,"2,312","2,804"
Essex,MA,"65,679","66,494"
Franklin,MA,"5,485","13,286"
Hampden,MA,"31,776","29,699"
Hampshire,MA,"14,309","24,638"
Middlesex,MA,"170,096","154,785"
Nantucket,MA,979,"1,060"
Norfolk,MA,"72,105","61,835"
Plymouth,MA,"39,165","40,219"
Suffolk,MA,"79,314","58,134"
Worcester,MA,"53,610","63,745"
Massachusetts,T,"606,822","589,803"
,,,
Alcona,MI,463,455
Alger,MI,384,622
Allegan,MI,"3,511","5,569"
Alpena,MI,"1,102","1,347"
Antrim,MI,867,"1,491"
Arenac,MI,595,663
Baraga,MI,270,371
Barry,MI,"1,736","3,078"
Bay,MI,"5,937","6,363"
Benzie,MI,853,"1,650"
Berrien,MI,"6,698","5,968"
Branch,MI,"1,010","1,246"
Calhoun,MI,"5,231","5,812"
Cass,MI,"1,657","1,684"
Charlevoix,MI,"1,044","1,730"
Cheboygan,MI,"1,010","1,318"
Chippewa,MI,"1,230","1,793"
Clare,MI,"1,090","1,239"
Clinton,MI,"3,402","4,496"
Crawford,MI,494,631
Delta,MI,"1,409","1,705"
Dickinson,MI,908,"1,075"
Eaton,MI,"5,866","7,125"
