county,state,Obama_08,McCain_08
Fountain,Indiana,"3,094","4,151"
Franklin,Indiana,"3,404","7,017"
Fulton,Indiana,"3,700","5,145"
Gibson,Indiana,"6,455","8,449"
Grant,Indiana,"11,291","14,726"
Greene,Indiana,"5,709","7,689"
Hamilton,Indiana,"49,691","78,391"
Hancock,Indiana,"11,869","21,991"
Harrison,Indiana,"7,271","10,529"
Hendricks,Indiana,"24,394","39,578"
Henry,Indiana,"10,058","10,894"
Howard,Indiana,"17,803","20,207"
Huntington,Indiana,"5,842","10,289"
Jackson,Indiana,"7,445","9,852"
Jasper,Indiana,"5,044","7,669"
Jay,Indiana,"3,746","4,400"
Jefferson,Indiana,"6,255","7,052"
Jennings,Indiana,"5,302","6,257"
Johnson,Indiana,"21,536","36,471"
Knox,Indiana,"7,569","8,639"
Kosciusko,Indiana,"9,229","20,484"
LaGrange,Indiana,"3,659","5,697"
